name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
NFT Tracker SOLE Tools,@soletoolsapp,"More here:  https:// Ξ121    Bored  Ape   Yacht Club  (#3895)
Ξ60     XCOPY (#170000200...)
Ξ34.9    Mutant   Ape   Yacht Club  (#22798) #CoolCatsNFT   #UpBit   #BlockchainGame   #Taiwan",2022-03-27T21:09:05.000Z,,,
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #9626 sold for 24.5 ETH! ($79222.47)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/9626 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/9626 … Rarity  15308/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-27T21:09:05.000Z,,1,2
24/7 Crypto - Metaverse and NFT news,@247crypto_,"The first Bored  Ape  restaurant ‘Bored & Hungry’ is opening in Long Beach, California on April 9. Co-founder, Andy Nguyen, spent $267,000 to buy Bored  Ape   Yacht Club  #6184 and two  Mutant   Ape   Yacht Club  NFTs.",2022-03-27T20:56:20.000Z,1,,
CryptoNerd,@VeryCryptoNerd,#NFT  Time! On this image you can see  Mutant   Ape   Yacht Club  stats. #mutant_ape_yacht_club    #opensea,2022-03-27T20:51:00.000Z,,,2
Trengible - Discover the nft trends,@Trengible," - 0x57d just bought #238 for 21.5 ETH ($68,188.97)

Collection:  Mutant   Ape   Yacht Club Date: 2022-03-27 20:48:06 (GMT 0)

Detail:  https:// ht-club/238-0x60e4d786628fea6478f785a6d7e704777c86a7c6-238 …",2022-03-27T20:49:22.000Z,,,
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #238 sold for 21.5 ETH (68.19K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/238 …,2022-03-27T20:48:32.000Z,,,3
NFT Whale Alert｜We are hiring,@nftgobot," NFT Big Trade Transfer: [0x922f01] -> [0x602b61] NFT:  Mutant   Ape   Yacht Club  #27300  https:// e4d786628fea6478f785a6d7e704777c86a7c6/27300 …  Price: 53.54 ETH ($170,197.54) Gas: 0.0077 ETH ($24.55) #MAYC",2022-03-27T18:57:41.000Z,,,
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #29800 sold for 26.8 ETH (85.18K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/29800 …,2022-03-27T18:57:28.000Z,,1,2
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #29800 sold for 26.8 ETH! ($85284.30)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/29800 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/29800 … Rarity  16452/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-27T18:57:12.000Z,,5,3
clipped,@0xClipped,"Collection Name:  mutant - ape - yacht-club Floor Price: 23.16 Ξ
24hr Change: -10.25%  Total Volume: 294564.85 Ξ
One Day Volume: 1220.36 Ξ
Total Sales: 28215
Daily Sales: 46

Opensea:  http:// ant-ape-yacht-club … Floor buy:  http:// ant-ape-yacht-club?search[sortAscending]=true&search[sortBy]=PRICE&search[toggles][0]=BUY_NOW …   Unix: 1648407426",2022-03-27T18:57:06.000Z,,,
